id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,garis_kemiskinan,satuan,tahun
130,32,JAWA BARAT,3274,KOTA CIREBON,202383,RUPIAH/KAPITA/BULAN,2008
131,32,JAWA BARAT,3275,KOTA BEKASI,265446,RUPIAH/KAPITA/BULAN,2008
132,32,JAWA BARAT,3276,KOTA DEPOK,269527,RUPIAH/KAPITA/BULAN,2008
133,32,JAWA BARAT,3277,KOTA CIMAHI,258213,RUPIAH/KAPITA/BULAN,2008
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,221105,RUPIAH/KAPITA/BULAN,2008
135,32,JAWA BARAT,3279,KOTA BANJAR,162152,RUPIAH/KAPITA/BULAN,2008
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,197319,RUPIAH/KAPITA/BULAN,2009
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,174793,RUPIAH/KAPITA/BULAN,2009
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,192176,RUPIAH/KAPITA/BULAN,2009
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,203702,RUPIAH/KAPITA/BULAN,2009
140,32,JAWA BARAT,3205,KABUPATEN GARUT,167190,RUPIAH/KAPITA/BULAN,2009
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,172491,RUPIAH/KAPITA/BULAN,2009
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,193652,RUPIAH/KAPITA/BULAN,2009
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,183795,RUPIAH/KAPITA/BULAN,2009
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,211501,RUPIAH/KAPITA/BULAN,2009
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,241830,RUPIAH/KAPITA/BULAN,2009
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,216053,RUPIAH/KAPITA/BULAN,2009
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,242931,RUPIAH/KAPITA/BULAN,2009
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,219956,RUPIAH/KAPITA/BULAN,2009
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,211820,RUPIAH/KAPITA/BULAN,2009
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,239832,RUPIAH/KAPITA/BULAN,2009
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,244603,RUPIAH/KAPITA/BULAN,2009
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,202705,RUPIAH/KAPITA/BULAN,2009
